card,value
бубны,7
бубны,8
бубны,король
бубны,7
бубны,валет
бубны,4
бубны,3
бубны,5
бубны,4
бубны,дама
бубны,6
бубны,4
бубны,дама
бубны,8
бубны,4
бубны,король
бубны,2
бубны,4
бубны,король
бубны,7
бубны,король
бубны,1
бубны,туз
бубны,10
бубны,король
бубны,10
бубны,3
бубны,7
бубны,дама
бубны,4
бубны,8
бубны,7
бубны,6
бубны,3
бубны,5
бубны,1
бубны,9
бубны,туз
бубны,4
бубны,10
бубны,8
бубны,5
бубны,10
бубны,туз
бубны,4
бубны,2
бубны,король
бубны,1
бубны,валет
бубны,10
бубны,7
бубны,дама
бубны,король
бубны,9
бубны,7
бубны,туз
бубны,10
бубны,6
бубны,2
бубны,валет
бубны,9
бубны,дама
бубны,валет
бубны,6
бубны,3
бубны,5
бубны,1
бубны,туз
бубны,5
бубны,10
бубны,дама
бубны,6
бубны,10
бубны,7
бубны,8
бубны,10
бубны,король
бубны,король
бубны,8
бубны,1
бубны,дама
бубны,6
бубны,3
бубны,король
бубны,1
бубны,8
бубны,король
бубны,9
бубны,9
бубны,10
бубны,2
бубны,6
бубны,9
бубны,6
бубны,3
бубны,10
бубны,7
бубны,7
бубны,5
бубны,6
бубны,6
бубны,валет
бубны,4
бубны,дама
бубны,валет
бубны,1
бубны,3
бубны,3
бубны,1
бубны,7
бубны,3
бубны,1
бубны,дама
бубны,туз
бубны,3
бубны,1
бубны,5
бубны,2
бубны,7
бубны,4
бубны,4
бубны,2
бубны,7
бубны,6
бубны,1
бубны,дама
бубны,4
бубны,6
бубны,10
бубны,1
бубны,10
бубны,10
бубны,король
бубны,7
бубны,2
бубны,6
бубны,6
бубны,10
бубны,король
бубны,4
бубны,4
бубны,6
бубны,дама
бубны,5
бубны,2
бубны,6
бубны,6
бубны,6
бубны,5
бубны,5
бубны,1
бубны,3
бубны,6
бубны,8
бубны,2
бубны,дама
бубны,5
бубны,8
бубны,король
бубны,туз
бубны,3
бубны,4
бубны,8
бубны,туз
бубны,дама
бубны,7
бубны,3
бубны,валет
бубны,10
бубны,6
бубны,1
бубны,валет
бубны,валет
бубны,1
бубны,4
бубны,8
бубны,3
бубны,8
бубны,6
бубны,8
бубны,1
бубны,1
бубны,2
бубны,валет
бубны,4
бубны,1
бубны,1
бубны,9
бубны,6
бубны,2
бубны,3
бубны,6
бубны,10
бубны,6
бубны,валет
бубны,1
бубны,4
бубны,8
бубны,2
бубны,6
бубны,7
бубны,6
бубны,туз
бубны,валет
бубны,9
бубны,3
бубны,король
бубны,2
бубны,8
бубны,дама
бубны,10
бубны,2
бубны,8
бубны,10
бубны,7
бубны,2
бубны,6
бубны,валет
бубны,8
бубны,дама
бубны,2
бубны,3
бубны,дама
бубны,4
бубны,6
бубны,7
бубны,7
бубны,9
бубны,король
бубны,6
бубны,7
бубны,2
бубны,5
бубны,1
бубны,4
бубны,2
бубны,6
бубны,7
бубны,7
бубны,король
бубны,5
бубны,туз
бубны,1
бубны,король
бубны,2
бубны,3
бубны,7
бубны,5
бубны,валет
бубны,9
бубны,3
бубны,1
бубны,6
бубны,1
бубны,дама
бубны,10
бубны,10
бубны,7
бубны,5
бубны,туз
бубны,дама
бубны,5
бубны,5
бубны,9
бубны,6
бубны,3
бубны,7
бубны,валет
бубны,7
бубны,4
бубны,10
бубны,10
бубны,7
бубны,5
бубны,10
бубны,дама
бубны,туз
бубны,6
бубны,король
бубны,король
бубны,2
бубны,король
бубны,туз
бубны,король
бубны,король
бубны,дама
бубны,король
бубны,5
бубны,1
бубны,7
бубны,4
бубны,дама
бубны,8
бубны,король
бубны,валет
бубны,валет
бубны,2
бубны,9
бубны,2
бубны,10
бубны,6
бубны,6
бубны,король
бубны,6
бубны,10
бубны,8
бубны,король
бубны,король
бубны,7
бубны,валет
бубны,1
бубны,валет
бубны,король
бубны,10
бубны,7
бубны,4
бубны,7
бубны,1
бубны,2
бубны,валет
бубны,7
бубны,6
бубны,король
бубны,3
бубны,валет
бубны,4
бубны,дама
бубны,1
бубны,туз
бубны,9
бубны,3
бубны,10
бубны,4
бубны,король
бубны,9
бубны,валет
бубны,2
бубны,1
бубны,8
бубны,король
бубны,дама
бубны,9
бубны,3
бубны,9
бубны,валет
бубны,4
бубны,валет
бубны,валет
бубны,9
бубны,9
бубны,9
бубны,1
бубны,король
бубны,8
бубны,2
бубны,5
бубны,король
бубны,3
бубны,7
бубны,король
бубны,2
бубны,1
бубны,1
бубны,6
бубны,2
бубны,7
бубны,король
бубны,туз
бубны,6
бубны,8
бубны,1
бубны,9
бубны,валет
бубны,8
бубны,6
бубны,6
бубны,2
бубны,8
бубны,туз
бубны,1
бубны,5
бубны,10
бубны,7
бубны,9
бубны,8
бубны,валет
бубны,2
бубны,4
бубны,1
бубны,6
бубны,6
бубны,10
бубны,1
бубны,туз
бубны,7
бубны,5
бубны,король
бубны,король
бубны,король
бубны,10
бубны,король
бубны,7
бубны,дама
бубны,валет
бубны,7
бубны,туз
бубны,7
бубны,1
бубны,8
бубны,3
бубны,8
бубны,6
бубны,дама
бубны,10
бубны,9
бубны,7
бубны,3
бубны,9
бубны,туз
бубны,дама
бубны,1
бубны,туз
бубны,2
бубны,7
бубны,8
бубны,туз
бубны,3
бубны,8
бубны,9
бубны,8
бубны,5
бубны,король
бубны,4
бубны,туз
бубны,10
бубны,6
бубны,9
бубны,7
бубны,5
бубны,5
бубны,4
бубны,дама
бубны,3
бубны,4
бубны,валет
бубны,6
бубны,4
бубны,туз
бубны,1
бубны,3
бубны,1
бубны,9
бубны,2
бубны,дама
бубны,2
бубны,валет
бубны,6
бубны,валет
бубны,9
бубны,валет
бубны,10
бубны,10
бубны,туз
бубны,8
бубны,2
бубны,валет
бубны,8
бубны,дама
бубны,7
бубны,2
бубны,9
бубны,4
бубны,король
бубны,6
бубны,5
бубны,9
бубны,1
бубны,валет
бубны,7
бубны,туз
бубны,8
бубны,1
бубны,туз
бубны,10
бубны,4
бубны,король
бубны,7
бубны,туз
бубны,дама
бубны,король
бубны,8
бубны,валет
бубны,туз
бубны,туз
бубны,король
бубны,валет
бубны,7
бубны,4
бубны,9
бубны,король
бубны,3
бубны,8
бубны,9
бубны,3
бубны,король
бубны,7
бубны,3
бубны,валет
бубны,1
бубны,9
бубны,5
бубны,дама
бубны,4
бубны,5
бубны,1
бубны,6
бубны,8
бубны,дама
бубны,10
бубны,1
бубны,2
бубны,3
бубны,валет
бубны,7
бубны,валет
бубны,туз
бубны,6
бубны,5
бубны,валет
бубны,6
бубны,валет
бубны,4
бубны,3
бубны,король
бубны,дама
бубны,туз
бубны,9
бубны,король
бубны,7
бубны,3
бубны,7
бубны,3
бубны,10
бубны,7
бубны,9
бубны,валет
