CounterID,EventDate,EventID,Country,visits
111,2020-01-01,99641,Russia,8980
111,2020-01-01,70725,Other,6131
111,2020-01-02,72177,Other,6862
111,2020-01-02,36003,Russia,1793
111,2020-01-03,81308,Other,3205
111,2020-01-03,30923,Russia,900
111,2020-01-04,60696,Other,2139
111,2020-01-04,53500,Russia,5905
111,2020-01-05,74816,Other,3721
111,2020-01-05,68888,Russia,6948
111,2020-01-06,93496,Other,4904
111,2020-01-06,82382,Russia,8688
111,2020-01-07,53219,Russia,1633
111,2020-01-07,32276,Other,9038
111,2020-01-08,99872,Russia,7830
111,2020-01-08,80461,Other,313
111,2020-01-09,63684,Other,9070
111,2020-01-09,59248,Russia,6804
111,2020-01-10,88492,Russia,448
111,2020-01-10,37318,Other,8302
111,2020-01-11,63344,Russia,9424
111,2020-01-11,29843,Other,7158
111,2020-01-12,61778,Russia,8296
111,2020-01-12,38174,Other,9044
111,2020-01-13,55185,Russia,4985
111,2020-01-13,44474,Other,1356
111,2020-01-14,71405,Other,9060
111,2020-01-14,22970,Russia,5807
111,2020-01-15,29041,Other,951
111,2020-01-15,21987,Russia,4294
111,2020-01-16,48700,Russia,4710
111,2020-01-16,34789,Other,3965
111,2020-01-17,43647,Other,6515
111,2020-01-17,17567,Russia,4333
111,2020-01-18,88731,Russia,6328
111,2020-01-18,20445,Other,6855
111,2020-01-19,73725,Other,3489
111,2020-01-19,56038,Russia,2064
111,2020-01-20,56148,Russia,5330
111,2020-01-20,50330,Other,1577
111,2020-01-21,96897,Russia,9085
111,2020-01-21,55292,Other,757
111,2020-01-22,64006,Other,9666
111,2020-01-22,32340,Russia,5447
111,2020-01-23,89371,Other,2609
111,2020-01-23,33856,Russia,5984
111,2020-01-24,93835,Russia,6283
111,2020-01-24,65066,Other,4539
111,2020-01-25,50567,Russia,5986
111,2020-01-25,35237,Other,2998
111,2020-01-26,45235,Russia,8171
111,2020-01-26,19136,Other,4734
111,2020-01-27,56080,Russia,1266
111,2020-01-27,50826,Other,2344
111,2020-01-28,85390,Russia,1337
111,2020-01-28,45057,Other,5414
111,2020-01-29,86392,Russia,5579
111,2020-01-29,80979,Other,9273
111,2020-01-30,86354,Russia,9076
111,2020-01-30,11639,Other,691
111,2020-01-31,90268,Russia,4112
111,2020-01-31,63837,Other,4320
111,2020-02-01,42777,Russia,6858
111,2020-02-01,31937,Other,1155
111,2020-02-02,91030,Other,8745
111,2020-02-02,70106,Russia,1493
111,2020-02-03,91084,Russia,6855
111,2020-02-03,54397,Other,3102
111,2020-02-04,63787,Russia,7950
111,2020-02-04,22947,Other,9288
111,2020-02-05,98728,Russia,7249
111,2020-02-05,16300,Other,1280
111,2020-02-06,92377,Other,2698
111,2020-02-06,61479,Russia,8985
111,2020-02-07,64407,Russia,420
111,2020-02-07,16723,Other,1124
111,2020-02-08,76755,Other,3536
111,2020-02-08,71992,Russia,8650
111,2020-02-09,29880,Russia,4097
111,2020-02-09,19193,Other,566
111,2020-02-10,80272,Other,9386
111,2020-02-10,52379,Russia,274
111,2020-02-11,47653,Other,8610
111,2020-02-11,17115,Russia,2050
111,2020-02-12,21872,Russia,9569
111,2020-02-12,16474,Other,6292
111,2020-02-13,66140,Russia,5956
111,2020-02-13,18446,Other,1618
111,2020-02-14,71297,Other,1856
111,2020-02-14,27112,Russia,3199
111,2020-02-15,76989,Russia,2085
111,2020-02-15,18540,Other,2997
111,2020-02-16,95985,Russia,3409
111,2020-02-16,81455,Other,610
111,2020-02-17,77985,Other,1122
111,2020-02-17,60843,Russia,9610
111,2020-02-18,55142,Russia,149
111,2020-02-18,30152,Other,703
111,2020-02-19,47968,Other,686
111,2020-02-19,16934,Russia,1975
111,2020-02-20,50617,Russia,1845
111,2020-02-20,23288,Other,9931
111,2020-02-21,90428,Other,6008
111,2020-02-21,57056,Russia,3757
111,2020-02-22,60333,Other,2616
111,2020-02-22,27151,Russia,2907
111,2020-02-23,40928,Russia,233
111,2020-02-23,37772,Other,6082
111,2020-02-24,86156,Other,9771
111,2020-02-24,59880,Russia,8453
111,2020-02-25,93192,Other,6649
111,2020-02-25,44601,Russia,5908
111,2020-02-26,60912,Russia,7464
111,2020-02-26,58259,Other,1658
111,2020-02-27,82793,Other,9593
111,2020-02-27,53085,Russia,957
111,2020-02-28,68255,Other,484
111,2020-02-28,59806,Russia,2988
111,2020-02-29,41255,Russia,4240
111,2020-02-29,20455,Other,4040
111,2020-03-01,90026,Russia,2043
111,2020-03-01,30560,Other,402
111,2020-03-02,48975,Russia,1347
111,2020-03-02,47489,Other,5611
111,2020-03-03,59174,Other,1531
111,2020-03-03,31292,Russia,1214
111,2020-03-04,95380,Other,2943
111,2020-03-04,93663,Russia,3728
111,2020-03-05,90475,Other,9137
111,2020-03-05,48717,Russia,8243
111,2020-03-06,94605,Russia,7100
111,2020-03-06,86302,Other,7952
111,2020-03-07,38352,Other,9578
111,2020-03-07,37801,Russia,5792
111,2020-03-08,58658,Other,7486
111,2020-03-08,37899,Russia,688
111,2020-03-09,50060,Russia,4878
111,2020-03-09,40297,Other,1934
111,2020-03-10,92105,Other,7401
111,2020-03-10,23918,Russia,4583
111,2020-03-11,73819,Russia,2472
111,2020-03-11,54935,Other,6441
111,2020-03-12,69419,Other,5920
111,2020-03-12,20818,Russia,172
111,2020-03-13,92520,Other,5466
111,2020-03-13,19257,Russia,1262
111,2020-03-14,92702,Other,8791
111,2020-03-14,57037,Russia,7898
